ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2016-09-04,-2325.2282387541,-12207.053973951392,8939.706995417362,-2325.2282387541,-2325.2282387541,-0.17755391823138544,-0.17755391823138544,-0.17755391823138544,-0.17755391823138544,-0.17755391823138544,-0.17755391823138544,0.0,0.0,0.0,-1912.3748541810462
2016-09-05,-2266.7211444981867,-13047.694940885282,8907.11676241912,-2266.7211444981867,-2266.7211444981867,0.15265245038896694,0.15265245038896694,0.15265245038896694,0.15265245038896694,0.15265245038896694,0.15265245038896694,0.0,0.0,0.0,-2612.741681554319
2016-09-06,-2208.2140502422735,-12676.944437040587,8148.5694245843,-2208.2140502422735,-2208.2140502422735,0.1151104311499719,0.1151104311499719,0.1151104311499719,0.1151104311499719,0.1151104311499719,0.1151104311499719,0.0,0.0,0.0,-2462.4025216370874
2016-09-07,-2149.7069559863603,-12896.919784664247,8061.568393987806,-2149.7069559863603,-2149.7069559863603,0.09866225732438849,0.09866225732438849,0.09866225732438849,0.09866225732438849,0.09866225732438849,0.09866225732438849,0.0,0.0,0.0,-2361.8018968499146
2016-09-08,-2091.199861730447,-13048.694427130327,8081.0304786096485,-2091.199861730447,-2091.199861730447,0.04453774200008967,0.04453774200008967,0.04453774200008967,0.04453774200008967,0.04453774200008967,0.04453774200008967,0.0,0.0,0.0,-2184.3371816428207
2016-09-09,-2032.6927674745336,-12922.58159004169,8675.756260977654,-2032.6927674745336,-2032.6927674745336,-0.00037311792703019833,-0.00037311792703019833,-0.00037311792703019833,-0.00037311792703019833,-0.00037311792703019833,-0.00037311792703019833,0.0,0.0,0.0,-2031.9343333628442
2016-09-10,-1974.1856732186207,-12267.890039752609,8712.4501103038,-1974.1856732186207,-1974.1856732186207,-0.2330358447045146,-0.2330358447045146,-0.2330358447045146,-0.2330358447045146,-0.2330358447045146,-0.2330358447045146,0.0,0.0,0.0,-1514.1296472565684
2016-09-11,-1915.6785789627074,-11673.727224246653,9351.17499992704,-1915.6785789627074,-1915.6785789627074,-0.17755391823125727,-0.17755391823125727,-0.17755391823125727,-0.17755391823125727,-0.17755391823125727,-0.17755391823125727,0.0,0.0,0.0,-1575.5423411961917
2016-09-12,-1857.1714847067942,-13202.13199662065,8872.972128212552,-1857.1714847067942,-1857.1714847067942,0.15265245038874925,0.15265245038874925,0.15265245038874925,0.15265245038874925,0.15265245038874925,0.15265245038874925,0.0,0.0,0.0,-2140.6732626393978
2016-09-13,-1798.6643904508808,-12838.667335364486,9325.948240373504,-1798.6643904508808,-1798.6643904508808,0.11511043115008579,0.11511043115008579,0.11511043115008579,0.11511043115008579,0.11511043115008579,0.11511043115008579,0.0,0.0,0.0,-2005.7094239299881
